week,station,hist_temp_max,hist_temp_mean,hist_temp_min,hist_rainfall,hist_snow
00,72202,24.59333333333333,20.725833333333334,17.333333333333332,0.4666666666666667,0.0
00,72243,12.0,6.764722222222222,2.8466666666666667,0.2,0.06666666666666667
00,72278,20.446666666666665,12.986388888888888,7.213333333333334,0.0,0.0
00,72290,18.846666666666668,13.945833333333333,9.879999999999999,0.0,0.0
00,72327,3.893333333333333,-1.7511111111111113,-6.293333333333334,0.13333333333333333,0.0
00,72353,5.713333333333334,-0.8011111111111112,-5.22,0.13333333333333333,0.0
00,72405,2.6666666666666665,-1.4100000000000001,-4.486666666666666,0.26666666666666666,0.06666666666666667
00,72494,13.96,10.532777777777778,7.513333333333334,0.26666666666666666,0.0
00,72530,-5.9399999999999995,-9.863888888888887,-13.56,0.26666666666666666,0.13333333333333333
00,72565,6.493333333333334,-2.9805555555555556,-8.486666666666666,0.26666666666666666,0.06666666666666667
00,72572,1.28,-4.037777777777778,-8.286666666666667,0.13333333333333333,0.06666666666666667
00,72606,-5.006666666666666,-10.22888888888889,-14.68,0.3333333333333333,0.2
00,72681,-0.9266666666666666,-5.158333333333333,-8.086666666666666,0.06666666666666667,0.0
00,72698,6.513333333333334,3.3177777777777777,0.8133333333333332,0.2,0.0
00,72793,7.633333333333334,4.2572222222222225,1.8066666666666669,0.4,0.0
00,74486,-0.3266666666666666,-3.6369444444444445,-6.180000000000001,0.2,0.06666666666666667
00,91182,26.7,23.107222222222223,19.926666666666666,0.2,0.0
00,KARB0,-6.386666666666667,-9.906038647342996,-13.426666666666668,0.2,0.0
00,KMIC0,-8.34,-13.8681884057971,-18.10666666666667,0.06666666666666667,0.0
00,KYIP0,-5.08,-8.416847826086956,-11.54,0.06666666666666667,0.0
00,PALH0,0.8866666666666667,-1.768949275362319,-4.626666666666667,0.4666666666666667,0.0
01,72202,26.14,22.333690476190476,19.365714285714283,0.45714285714285713,0.0
01,72243,15.445714285714287,9.988928571428572,5.885714285714286,0.34285714285714286,0.0
01,72278,20.228571428571428,13.782380952380953,9.097142857142856,0.2,0.0
01,72290,19.285714285714285,14.94547619047619,11.59142857142857,0.2857142857142857,0.0
01,72327,8.360000000000001,2.581904761904762,-1.5228571428571427,0.45714285714285713,0.08571428571428572
01,72353,6.920000000000001,0.7539285714285715,-3.34,0.2857142857142857,0.05714285714285714
01,72405,6.54,1.8782142857142856,-1.4628571428571429,0.4,0.08571428571428572
01,72494,13.791428571428572,10.940595238095238,8.685714285714285,0.37142857142857144,0.0
01,72530,-2.3342857142857145,-6.66297619047619,-10.12,0.4857142857142857,0.2
01,72565,4.531428571428571,-2.8713203463203465,-8.51142857142857,0.3142857142857143,0.22857142857142856
01,72572,3.1514285714285712,-1.013809523809524,-4.017142857142857,0.3142857142857143,0.2571428571428571
01,72606,1.2314285714285718,-3.884503105590062,-8.337142857142858,0.37142857142857144,0.11428571428571428
01,72681,2.125714285714286,-1.8654761904761905,-4.4799999999999995,0.37142857142857144,0.17142857142857143
01,72698,7.397142857142857,4.074047619047619,1.6714285714285715,0.5714285714285714,0.05714285714285714
01,72793,7.691428571428571,4.908333333333333,2.9771428571428573,0.5714285714285714,0.05714285714285714
01,74486,4.674285714285714,0.36892857142857144,-3.142857142857143,0.45714285714285713,0.05714285714285714
01,91182,26.662857142857145,22.53559523809524,19.08857142857143,0.02857142857142857,0.0
01,KARB0,-1.6485714285714286,-6.240326086956522,-10.822857142857144,0.4,0.0
01,KMIC0,-6.785714285714286,-11.334021739130435,-15.065714285714284,0.14285714285714285,0.0
01,KYIP0,-0.1800000000000001,-4.531014492753623,-8.734285714285713,0.34285714285714286,0.0
01,PALH0,-3.482857142857143,-6.519663561076605,-8.840000000000002,0.08571428571428572,0.0
02,72202,23.94857142857143,19.86845238095238,16.557142857142857,0.34285714285714286,0.0
02,72243,16.54857142857143,10.1675,5.554285714285713,0.2571428571428571,0.0
02,72278,21.142857142857142,14.325714285714287,8.997142857142856,0.08571428571428572,0.0
02,72290,20.27714285714286,15.696547619047621,11.734285714285713,0.22857142857142856,0.0
02,72327,9.502857142857144,2.823809523809524,-1.5885714285714285,0.2857142857142857,0.08571428571428572
02,72353,11.44,3.5151190476190477,-2.1,0.05714285714285714,0.0
02,72405,7.954285714285714,2.8207142857142857,-0.677142857142857,0.3142857142857143,0.02857142857142857
02,72494,15.6,12.020357142857142,9.165714285714285,0.3142857142857143,0.0
02,72530,-0.5000000000000001,-4.875020703933748,-8.42,0.4,0.2857142857142857
02,72565,8.248571428571429,0.6461024844720498,-5.225714285714286,0.08571428571428572,0.08571428571428572
02,72572,5.3828571428571435,1.1532142857142855,-2.1714285714285713,0.34285714285714286,0.2571428571428571
02,72606,1.1885714285714286,-2.8042443064182194,-6.682857142857143,0.5714285714285714,0.2
02,72681,4.548571428571428,0.5440476190476191,-2.322857142857143,0.37142857142857144,0.2
02,72698,8.048571428571428,4.7630952380952385,2.394285714285714,0.6571428571428571,0.05714285714285714
02,72793,9.177142857142856,5.959642857142858,3.7628571428571425,0.5428571428571428,0.02857142857142857
02,74486,5.468571428571429,1.437857142857143,-1.7114285714285713,0.34285714285714286,0.11428571428571428
02,91182,26.757142857142856,23.224880952380953,20.017142857142858,0.11428571428571428,0.0
02,KARB0,-0.5428571428571427,-5.100712215320911,-9.022857142857143,0.2571428571428571,0.0
02,KMIC0,-5.3914285714285715,-10.212218614718616,-14.042857142857143,0.17142857142857143,0.0
02,KYIP0,0.7257142857142858,-3.6370238095238094,-7.457142857142857,0.2,0.0
